MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN
2,8,9,28.79,663.49
2,8,10,29.95,824.12
2,8,11,30.69,914.85
2,8,12,30.87,887.78
2,8,13,30.62,812.65
2,8,14,30.05,711.55
2,8,15,29.35,526.38
2,8,16,28.37,300.52
2,8,17,27.15,71.11
2,8,18,26.3,0
2,8,19,26.04,0
2,8,20,25.88,0
2,8,21,25.73,0
2,8,22,25.55,0
2,8,23,25.35,0
2,9,0,25.12,0
2,9,1,24.82,0
2,9,2,24.59,0
2,9,3,24.51,0
2,9,4,24.49,0
2,9,5,24.4,0
2,9,6,24.62,23.49
2,9,7,25.98,211.77
2,9,8,27.45,456.38
2,9,9,28.69,668.87
2,9,10,29.49,827.98
2,9,11,29.87,918.23
2,9,12,29.94,889.71
2,9,13,29.67,828.19
2,9,14,29.18,713.44
2,9,15,28.51,535.02
2,9,16,27.75,309.07
2,9,17,26.83,73.94
2,9,18,26.14,0
2,9,19,25.93,0
2,9,20,25.79,0
2,9,21,25.66,0
2,9,22,25.49,0
2,9,23,25.33,0
2,10,0,25.2,0
2,10,1,25.03,0
2,10,2,24.88,0
2,10,3,24.77,0
2,10,4,24.68,0
2,10,5,24.63,0
2,10,6,24.83,22.68
2,10,7,26.13,205.23
2,10,8,27.76,448.67
2,10,9,29.1,662.66
2,10,10,30.07,827.49
2,10,11,30.71,923.5
2,10,12,31.06,888.11
2,10,13,31.05,848.7
2,10,14,30.7,717.7
2,10,15,30.08,528.42
2,10,16,29.2,304.52
2,10,17,27.83,73.83
2,10,18,26.72,0
2,10,19,26.25,0
2,10,20,25.95,0
2,10,21,25.76,0
2,10,22,25.61,0
2,10,23,25.42,0
2,11,0,25.2,0
2,11,1,25,0
2,11,2,24.83,0
2,11,3,24.71,0
2,11,4,24.66,0
2,11,5,24.65,0
2,11,6,24.86,23.06
2,11,7,26.08,208.23
2,11,8,27.68,447.52
2,11,9,29,658.66
2,11,10,29.94,821.4
2,11,11,30.41,934.62
2,11,12,30.43,895.7
2,11,13,30.15,860.23
2,11,14,29.64,738.88
2,11,15,28.98,548.83
2,11,16,28.12,316.64
2,11,17,26.97,78.91
2,11,18,26,0
2,11,19,25.63,0
2,11,20,25.49,0
2,11,21,25.39,0
2,11,22,25.3,0
2,11,23,25.18,0
2,12,0,25,0
2,12,1,24.88,0
2,12,2,24.83,0
2,12,3,24.67,0
2,12,4,24.58,0
2,12,5,24.52,0
2,12,6,24.72,23.4
2,12,7,25.98,207.32
2,12,8,27.54,447.57
2,12,9,28.78,658.85
2,12,10,29.73,820.37
2,12,11,30.3,918.21
2,12,12,30.44,921.25
2,12,13,30.26,791.57
2,12,14,29.8,714.92
2,12,15,29.19,521.09
2,12,16,28.44,298.79
2,12,17,27.26,73.51
2,12,18,26.22,0
2,12,19,25.8,0
2,12,20,25.64,0
2,12,21,25.58,0
2,12,22,25.6,0
2,12,23,25.51,0
2,13,0,25.37,0
2,13,1,25.24,0
2,13,2,25.12,0
2,13,3,25.04,0
2,13,4,25.01,0
2,13,5,25.01,0
2,13,6,25.15,23.81
2,13,7,25.94,202.48
2,13,8,27.21,450.48
2,13,9,28.37,660.76
2,13,10,29.15,820.51
2,13,11,29.6,903.87
2,13,12,29.75,875.49
2,13,13,29.58,805.4
2,13,14,29.21,716.38
2,13,15,28.59,538.09
2,13,16,27.7,311.98
2,13,17,26.58,78.55
2,13,18,25.69,0
2,13,19,25.35,0
2,13,20,25.26,0
2,13,21,25.24,0
2,13,22,25.19,0
2,13,23,25.09,0
2,14,0,24.99,0
2,14,1,24.87,0
2,14,2,24.77,0
2,14,3,24.69,0
2,14,4,24.66,0
2,14,5,24.64,0
2,14,6,24.83,25.32
2,14,7,25.85,209.27
2,14,8,27.19,433.11
2,14,9,28.43,629.38
2,14,10,29.32,833.97
2,14,11,29.83,902.45
2,14,12,29.92,802.23
2,14,13,29.68,761.25
